iter	RMSE
0	0.3950384031
1	0.3909957413
2	0.3871030692
3	0.3828962698
4	0.3789725618
5	0.3752114074
6	0.3712339513
7	0.3675016828
8	0.3638466156
9	0.3603097774
10	0.3570024811
11	0.3536639042
12	0.3500747127
13	0.3464881874
14	0.3432599531
15	0.340153446
16	0.3370110837
17	0.333725918
18	0.330552791
19	0.3272457652
20	0.3244273842
21	0.3216169437
22	0.3189505639
23	0.3157871469
24	0.3127287953
25	0.3100924658
26	0.3074729321
27	0.3046862892
28	0.3020184169
29	0.2993415835
30	0.2965026024
31	0.2937646997
32	0.2911510478
33	0.2885775248
34	0.2860164819
35	0.283356392
36	0.2810939509
37	0.2785731888
38	0.2762119556
39	0.2738648256
40	0.2715962543
41	0.269814804
42	0.2675742677
43	0.2657009487
44	0.2635998702
45	0.2615705814
46	0.2593695673
47	0.2573158513
48	0.2552919163
49	0.2533409425
50	0.2514220116
51	0.2495701882
52	0.2477008786
53	0.2458811398
54	0.243832438
55	0.241953665
56	0.2401941959
57	0.2384366054
58	0.2367321922
59	0.23519535
60	0.2334337924
61	0.2318496025
62	0.2301998803
63	0.2284828055
64	0.2268623852
65	0.2252340256
66	0.2237980884
67	0.2222454111
68	0.2206293268
69	0.2192567603
70	0.2178318954
71	0.2162813229
72	0.2147068361
73	0.2132228369
74	0.2119894832
75	0.2105445679
76	0.2092549631
77	0.2079083117
78	0.2065907147
79	0.2052692829
80	0.2039576666
81	0.202682279
82	0.2014804295
83	0.2001847327
84	0.1987908547
85	0.197572746
86	0.1963535035
87	0.1953380029
88	0.1941450858
89	0.1930670134
90	0.1918689745
91	0.1907851716
92	0.1897173698
93	0.188655913
94	0.1876600647
95	0.186599936
96	0.1855898568
97	0.1845641346
98	0.1835667879
99	0.1825611962
100	0.1816132396
101	0.1806534205
102	0.1796988908
103	0.1788607817
104	0.1780084279
105	0.1770655707
106	0.1762722219
107	0.1754594455
108	0.1746859708
109	0.17388015
110	0.1730925095
111	0.172200558
112	0.1713567719
113	0.1705593266
114	0.1696941746
115	0.1689329416
116	0.1681346943
117	0.1673043974
118	0.166572825
119	0.1659649418
120	0.1651057805
121	0.1644927343
122	0.1638665284
123	0.1632651639
124	0.162625654
125	0.1618974675
126	0.1611555593
127	0.1606206695
128	0.1599613211
129	0.1593588596
130	0.1587629439
131	0.158173101
132	0.157534304
133	0.1568392034
134	0.1561992876
135	0.1555932052
136	0.1550108677
137	0.1543877795
138	0.1538274832
139	0.1532340608
140	0.1526796587
141	0.1521911426
142	0.1515977213
143	0.1510248363
144	0.1504440252
145	0.1498863999
146	0.1493099218
147	0.1487903504
148	0.148333133
149	0.147773884
150	0.1472534642
151	0.1467716006
152	0.1463113132
153	0.1458755112
154	0.1453788013
155	0.1448897686
156	0.1444609455
157	0.144017197
158	0.1436334588
159	0.1431214354
160	0.1427332625
161	0.1423709076
162	0.1419895655
163	0.141551835
164	0.1411005483
165	0.140676979
166	0.1402654627
167	0.1398799003
168	0.1394630776
169	0.1390909787
170	0.1387243863
171	0.1383862114
172	0.1380860276
173	0.1377653424
174	0.1373465481
175	0.1370490248
176	0.1367376933
177	0.1365467748
178	0.1361933717
179	0.1358042676
180	0.1354477939
181	0.1351450181
182	0.1347835165
183	0.1344041962
184	0.1341045543
185	0.1338125506
186	0.1335369883
187	0.133206431
188	0.1328942049
189	0.1325268451
190	0.1322396622
191	0.1319303183
192	0.1316083224
193	0.131354047
194	0.1308956339
195	0.1306112108
196	0.1303409083
197	0.1300886309
198	0.1297250687
199	0.1293954582
200	0.1291120831
201	0.1287480504
202	0.1284686643
203	0.1281936545
204	0.1279017332
205	0.1276348885
206	0.1273036152
207	0.126967689
208	0.1266891512
209	0.1264207376
210	0.1261624176
211	0.1258265548
212	0.1255650851
213	0.125290299
214	0.1250883846
215	0.1247825818
216	0.1245358136
217	0.1242446121
218	0.1240479955
219	0.1237853183
220	0.1235684278
221	0.1233430773
222	0.1231427242
223	0.1229398927
224	0.122709406
225	0.1224592085
226	0.1222707313
227	0.1220788427
228	0.1218271938
229	0.1216251455
230	0.121405557
231	0.1211635461
232	0.1209485471
233	0.1206644871
234	0.120452264
235	0.1202590263
236	0.1200532539
237	0.119776642
238	0.119506773
239	0.1192953997
240	0.1190699665
241	0.1188953382
242	0.1187114191
243	0.118474148
244	0.1182763407
245	0.1180352036
246	0.1178689979
247	0.1176475783
248	0.1174198679
249	0.1172453103
250	0.1170342294
251	0.1168186304
252	0.1166549643
253	0.1164661496
254	0.1162704557
255	0.1161127626
256	0.1159533074
257	0.1157892495
258	0.1155820264
259	0.1154013558
260	0.1152661099
261	0.1150977721
262	0.1149177085
263	0.1147393262
264	0.1145421457
265	0.1143582882
266	0.114177398
267	0.1140286343
268	0.1138797951
269	0.1137115317
270	0.113565686
271	0.1133653613
272	0.1132170433
273	0.1130492013
274	0.1129022961
275	0.1127655023
276	0.1125867734
277	0.1124547213
278	0.1123268374
279	0.1121592487
280	0.112019089
281	0.1118641939
282	0.1117391172
283	0.1116062908
284	0.111453711
285	0.1113050386
286	0.1111559515
287	0.1109854157
288	0.1108237828
289	0.1106726162
290	0.110528212
291	0.1104110009
292	0.1102880186
293	0.1101576957
294	0.1100373724
295	0.1098660272
296	0.1097241579
297	0.109569965
298	0.1093943526
299	0.1092259443
300	0.109080005
301	0.1089818509
302	0.1088556024
303	0.1087662713
304	0.1086407565
305	0.1084933147
306	0.108362909
307	0.1082140222
308	0.108077507
309	0.1079359651
310	0.1078540963
311	0.1077715339
312	0.1076502823
313	0.1075379692
314	0.1073690629
315	0.1072111851
316	0.1070800749
317	0.10694567
318	0.1068460955
319	0.1067237097
320	0.1066215507
321	0.1064906793
322	0.1063897675
323	0.1062504008
324	0.1061586457
325	0.1060734491
326	0.1059526413
327	0.1058609471
328	0.1057361244
329	0.1056497889
330	0.1055377359
331	0.1054279955
332	0.1053351116
333	0.1052143235
334	0.1050816093
335	0.1049920054
336	0.1048630907
337	0.1047530905
338	0.1046644078
339	0.1045559481
340	0.1044393626
341	0.1043459837
342	0.1042277041
343	0.1041042399
344	0.1039866581
345	0.1038595721
346	0.103769911
347	0.1036488217
348	0.103523649
349	0.1034160581
350	0.1032845765
351	0.1031864832
352	0.103082507
353	0.1029825426
354	0.1029027717
355	0.1028032491
356	0.1027109605
357	0.1026209101
358	0.1025323888
359	0.1024178033
360	0.1023495426
361	0.1022511346
362	0.1021627365
363	0.1020601909
364	0.1019595775
365	0.1018515805
366	0.1017395283
367	0.1016217335
