iter	Passed	Remaining
0	0	1297
1	1	1306
2	2	1221
3	3	1170
4	4	1177
5	5	1158
6	5	1162
7	6	1162
8	7	1154
9	8	1183
10	11	1423
11	13	1505
12	14	1505
13	15	1499
14	16	1484
15	17	1482
16	18	1497
17	19	1491
18	20	1485
19	21	1476
20	22	1476
21	24	1495
22	26	1551
23	27	1551
24	28	1546
25	29	1547
26	31	1601
27	33	1596
28	34	1589
29	35	1584
30	36	1583
31	37	1583
32	39	1604
33	41	1649
34	43	1659
35	44	1676
36	46	1671
37	47	1674
38	48	1676
39	50	1680
40	51	1691
41	53	1694
42	54	1703
43	58	1787
44	60	1794
45	61	1798
46	63	1798
47	64	1804
48	66	1812
49	68	1823
50	70	1830
51	72	1852
52	75	1884
53	77	1910
54	79	1909
55	80	1906
56	82	1905
57	84	1929
58	86	1930
59	87	1932
60	89	1937
61	91	1937
62	92	1938
63	94	1942
64	95	1943
65	97	1947
66	99	1952
67	102	1969
68	103	1974
69	105	1970
70	106	1969
71	108	1965
72	109	1963
73	110	1958
74	113	1972
75	115	1983
76	117	1988
77	119	1988
78	120	1983
79	121	1980
80	123	1975
81	124	1970
82	125	1963
83	126	1957
84	128	1954
85	131	1979
86	133	1980
87	134	1981
88	136	1977
89	138	1982
90	139	1976
91	140	1971
92	142	1974
93	144	1979
94	146	1980
95	148	1984
96	149	1982
97	151	1981
98	153	1982
99	154	1980
100	156	1978
101	158	1993
102	161	1998
103	162	1998
104	164	1996
105	166	1999
106	167	1995
107	169	1996
108	170	1992
109	172	1993
110	174	2001
111	176	2004
112	178	2001
113	179	1996
114	182	2004
115	183	2006
116	185	2002
117	188	2020
118	190	2017
119	191	2014
120	192	2006
121	194	2011
122	196	2012
123	198	2008
124	199	2004
125	201	2002
126	203	2005
127	204	2001
128	207	2012
129	209	2015
130	211	2020
131	213	2015
132	214	2010
133	215	2005
134	217	2005
135	219	2005
136	221	2013
137	223	2009
138	224	2009
139	226	2011
140	229	2015
141	230	2011
142	231	2007
143	234	2015
144	236	2012
145	237	2009
146	239	2006
147	240	2004
148	242	2002
149	243	2002
150	246	2008
151	249	2016
152	251	2017
153	253	2018
154	255	2019
155	258	2026
156	259	2022
157	261	2023
158	263	2027
159	266	2031
160	268	2034
161	270	2034
162	271	2031
163	273	2029
164	275	2027
165	276	2027
166	280	2037
167	282	2042
168	285	2046
169	287	2049
170	289	2048
171	291	2045
172	293	2047
173	295	2047
174	297	2048
175	299	2049
176	300	2047
177	302	2042
178	304	2041
179	306	2042
180	307	2038
181	308	2034
182	310	2032
183	312	2032
184	314	2032
185	316	2030
186	317	2026
187	318	2022
188	321	2024
189	322	2024
190	324	2020
191	326	2020
192	328	2021
193	330	2019
194	331	2016
195	333	2015
196	335	2014
197	338	2022
198	340	2023
199	342	2024
200	344	2024
201	346	2021
202	347	2018
203	349	2019
204	351	2018
205	353	2015
206	354	2013
207	357	2017
208	359	2016
209	362	2022
210	365	2025
211	368	2029
212	369	2027
213	371	2023
214	372	2021
215	374	2017
216	375	2014
217	378	2019
218	380	2017
219	381	2014
220	384	2018
221	386	2015
222	387	2013
223	389	2010
224	391	2010
225	393	2009
226	395	2009
227	397	2009
